Fecha;Chats
01/11/2021;5506
02/11/2021;6173
03/11/2021;7182
04/11/2021;8001
05/11/2021;9171
06/11/2021;8691
07/11/2021;8666
08/11/2021;7273
09/11/2021;6595
10/11/2021;7018
11/11/2021;7699
12/11/2021;9130
13/11/2021;11753
14/11/2021;10455
15/11/2021;7996
16/11/2021;8401
17/11/2021;6999
18/11/2021;6787
19/11/2021;8475
20/11/2021;8585
21/11/2021;11142
22/11/2021;10808
23/11/2021;7654
24/11/2021;7166
25/11/2021;9900
26/11/2021;9188
27/11/2021;9469
28/11/2021;11984
29/11/2021;7811
30/11/2021;7868
01/12/2021;8090
02/12/2021;8209
03/12/2021;9485
04/12/2021;9893
05/12/2021;10260
06/12/2021;8481
07/12/2021;12409
08/12/2021;12455
09/12/2021;9131
10/12/2021;8709
11/12/2021;8549
12/12/2021;11044
13/12/2021;7947
14/12/2021;10209
15/12/2021;9089
16/12/2021;9513
17/12/2021;9940
18/12/2021;10645
19/12/2021;9753
20/12/2021;9103
21/12/2021;9126
22/12/2021;11442
23/12/2021;10892
24/12/2021;7044
25/12/2021;5233
26/12/2021;8419
27/12/2021;8474
28/12/2021;8496
29/12/2021;9263
30/12/2021;9734
31/12/2021;6974
01/01/2022;5357
02/01/2022;8025
03/01/2022;7909
04/01/2022;9597
05/01/2022;6683
06/01/2022;6859
07/01/2022;7297
08/01/2022;7431
09/01/2022;7774
10/01/2022;6733
11/01/2022;7417
12/01/2022;6539
13/01/2022;6737
14/01/2022;7699
15/01/2022;9641
16/01/2022;9698
17/01/2022;5972
18/01/2022;7364
19/01/2022;6664
20/01/2022;7756
21/01/2022;7181
22/01/2022;8297
23/01/2022;7144
24/01/2022;5455
25/01/2022;7070
26/01/2022;6161
27/01/2022;6071
28/01/2022;6189
29/01/2022;6253
30/01/2022;6685
31/01/2022;6039
01/02/2022;6451
02/02/2022;6021
03/02/2022;6012
04/02/2022;6749
05/02/2022;7625
06/02/2022;6840
07/02/2022;5424
08/02/2022;5432
09/02/2022;5437
10/02/2022;5497
11/02/2022;7295
12/02/2022;6328
13/02/2022;6480
14/02/2022;8666
15/02/2022;6905
16/02/2022;6132
17/02/2022;5670
18/02/2022;6300
19/02/2022;6648
20/02/2022;8281
21/02/2022;5600
22/02/2022;5860
23/02/2022;5827
24/02/2022;6563
25/02/2022;6535
26/02/2022;7580
27/02/2022;8246
28/02/2022;7477
01/03/2022;7260
02/03/2022;6006
03/03/2022;5499
04/03/2022;7029
05/03/2022;7045
06/03/2022;7035
07/03/2022;5459
08/03/2022;6060
09/03/2022;6729
10/03/2022;5769
11/03/2022;6499
12/03/2022;6604
13/03/2022;6928
14/03/2022;5298
15/03/2022;5363
16/03/2022;5392
17/03/2022;5738
18/03/2022;7436
19/03/2022;6463
20/03/2022;7125
21/03/2022;4947
22/03/2022;5163
23/03/2022;6916
24/03/2022;8757
25/03/2022;7672
26/03/2022;6846
27/03/2022;6828
28/03/2022;5056
29/03/2022;6277
30/03/2022;5670
31/03/2022;5601
01/04/2022;6602
02/04/2022;7215
03/04/2022;7656
04/04/2022;5477
05/04/2022;5184
06/04/2022;6479
07/04/2022;7061
08/04/2022;7796
09/04/2022;7672
10/04/2022;8187
11/04/2022;3583
12/04/2022;4851
13/04/2022;5413
14/04/2022;5708
15/04/2022;5581
16/04/2022;5024
