Fecha;Volumen
10/01/2022 00:00;451
10/01/2022 00:30;295
10/01/2022 01:00;220
10/01/2022 01:30;149
10/01/2022 02:00;113
10/01/2022 02:30;74
10/01/2022 03:00;43
10/01/2022 03:30;23
10/01/2022 04:00;17
10/01/2022 04:30;13
10/01/2022 05:00;10
10/01/2022 05:30;7
10/01/2022 06:00;6
10/01/2022 06:30;8
10/01/2022 07:00;9
10/01/2022 07:30;20
10/01/2022 08:00;34
10/01/2022 08:30;59
10/01/2022 09:00;77
10/01/2022 09:30;93
10/01/2022 10:00;111
10/01/2022 10:30;122
10/01/2022 11:00;136
10/01/2022 11:30;149
10/01/2022 12:00;194
10/01/2022 12:30;253
10/01/2022 13:00;311
10/01/2022 13:30;387
10/01/2022 14:00;449
10/01/2022 14:30;473
10/01/2022 15:00;462
10/01/2022 15:30;411
10/01/2022 16:00;383
10/01/2022 16:30;349
10/01/2022 17:00;341
10/01/2022 17:30;331
10/01/2022 18:00;313
10/01/2022 18:30;328
10/01/2022 19:00;328
10/01/2022 19:30;417
10/01/2022 20:00;500
10/01/2022 20:30;632
10/01/2022 21:00;785
10/01/2022 21:30;972
10/01/2022 22:00;1164
10/01/2022 22:30;1193
10/01/2022 23:00;1110
10/01/2022 23:30;860
10/02/2022 00:00;673
10/02/2022 00:30;471
10/02/2022 01:00;375
10/02/2022 01:30;260
10/02/2022 02:00;213
10/02/2022 02:30;122
10/02/2022 03:00;86
10/02/2022 03:30;43
10/02/2022 04:00;25
10/02/2022 04:30;21
10/02/2022 05:00;13
10/02/2022 05:30;11
10/02/2022 06:00;8
10/02/2022 06:30;8
10/02/2022 07:00;13
10/02/2022 07:30;21
10/02/2022 08:00;30
10/02/2022 08:30;49
10/02/2022 09:00;82
10/02/2022 09:30;102
10/02/2022 10:00;128
10/02/2022 10:30;135
10/02/2022 11:00;147
10/02/2022 11:30;170
10/02/2022 12:00;206
10/02/2022 12:30;252
10/02/2022 13:00;352
10/02/2022 13:30;446
10/02/2022 14:00;610
10/02/2022 14:30;654
10/02/2022 15:00;694
10/02/2022 15:30;689
10/02/2022 16:00;630
10/02/2022 16:30;544
10/02/2022 17:00;549
10/02/2022 17:30;518
10/02/2022 18:00;500
