"Fecha","Volumen"
"10/1/2022 0:00","451"
"10/1/2022 0:30","295"
"10/1/2022 1:00","220"
"10/1/2022 1:30","149"
"10/1/2022 2:00","113"
"10/1/2022 2:30","74"
"10/1/2022 3:00","43"
"10/1/2022 3:30","23"
"10/1/2022 4:00","17"
"10/1/2022 4:30","13"
"10/1/2022 5:00","10"
"10/1/2022 5:30","7"
"10/1/2022 6:00","6"
"10/1/2022 6:30","8"
"10/1/2022 7:00","9"
"10/1/2022 7:30","20"
"10/1/2022 8:00","34"
"10/1/2022 8:30","59"
"10/1/2022 9:00","77"
"10/1/2022 9:30","93"
"10/1/2022 10:00","111"
"10/1/2022 10:30","122"
"10/1/2022 11:00","136"
"10/1/2022 11:30","149"
"10/1/2022 12:00","194"
"10/1/2022 12:30","253"
"10/1/2022 13:00","311"
"10/1/2022 13:30","387"
"10/1/2022 14:00","449"
"10/1/2022 14:30","473"
"10/1/2022 15:00","462"
"10/1/2022 15:30","411"
"10/1/2022 16:00","383"
"10/1/2022 16:30","349"
"10/1/2022 17:00","341"
"10/1/2022 17:30","331"
"10/1/2022 18:00","313"
"10/1/2022 18:30","328"
"10/1/2022 19:00","328"
"10/1/2022 19:30","417"
"10/1/2022 20:00","500"
"10/1/2022 20:30","632"
"10/1/2022 21:00","785"
"10/1/2022 21:30","972"
"10/1/2022 22:00","1164"
"10/1/2022 22:30","1193"
"10/1/2022 23:00","1110"
"10/1/2022 23:30","860"
"10/2/2022 0:00","673"
"10/2/2022 0:30","471"
"10/2/2022 1:00","375"
"10/2/2022 1:30","260"
"10/2/2022 2:00","213"
"10/2/2022 2:30","122"
"10/2/2022 3:00","86"
"10/2/2022 3:30","43"
"10/2/2022 4:00","25"
"10/2/2022 4:30","21"
"10/2/2022 5:00","13"
"10/2/2022 5:30","11"
"10/2/2022 6:00","8"
"10/2/2022 6:30","8"
"10/2/2022 7:00","13"
"10/2/2022 7:30","21"
"10/2/2022 8:00","30"
"10/2/2022 8:30","49"
"10/2/2022 9:00","82"
"10/2/2022 9:30","102"
"10/2/2022 10:00","128"
"10/2/2022 10:30","135"
"10/2/2022 11:00","147"
"10/2/2022 11:30","170"
"10/2/2022 12:00","206"
"10/2/2022 12:30","252"
"10/2/2022 13:00","352"
"10/2/2022 13:30","446"
"10/2/2022 14:00","610"
"10/2/2022 14:30","654"
"10/2/2022 15:00","694"
"10/2/2022 15:30","689"
"10/2/2022 16:00","630"
"10/2/2022 16:30","544"
"10/2/2022 17:00","549"
"10/2/2022 17:30","518"
"10/2/2022 18:00","500"
"10/2/2022 18:30","535"
"10/2/2022 19:00","511"
"10/2/2022 19:30","539"
"10/2/2022 20:00","647"
"10/2/2022 20:30","787"
"10/2/2022 21:00","957"
"10/2/2022 21:30","1115"
"10/2/2022 22:00","1194"
"10/2/2022 22:30","1017"
"10/2/2022 23:00","762"
"10/2/2022 23:30","566"
"10/3/2022 0:00","429"
"10/3/2022 0:30","255"
"10/3/2022 1:00","156"
"10/3/2022 1:30","93"
"10/3/2022 2:00","67"
"10/3/2022 2:30","43"
"10/3/2022 3:00","33"
"10/3/2022 3:30","22"
"10/3/2022 4:00","11"
"10/3/2022 4:30","9"
"10/3/2022 5:00","9"
"10/3/2022 5:30","9"
"10/3/2022 6:00","13"
"10/3/2022 6:30","8"
"10/3/2022 7:00","11"
"10/3/2022 7:30","24"
"10/3/2022 8:00","37"
"10/3/2022 8:30","62"
"10/3/2022 9:00","80"
"10/3/2022 9:30","108"
"10/3/2022 10:00","121"
"10/3/2022 10:30","119"
"10/3/2022 11:00","149"
"10/3/2022 11:30","158"
"10/3/2022 12:00","223"
"10/3/2022 12:30","337"
"10/3/2022 13:00","448"
"10/3/2022 13:30","509"
"10/3/2022 14:00","554"
"10/3/2022 14:30","478"
"10/3/2022 15:00","434"
"10/3/2022 15:30","358"
"10/3/2022 16:00","339"
"10/3/2022 16:30","318"
"10/3/2022 17:00","311"
"10/3/2022 17:30","338"
"10/3/2022 18:00","335"
"10/3/2022 18:30","335"
"10/3/2022 19:00","353"
"10/3/2022 19:30","389"
"10/3/2022 20:00","446"
"10/3/2022 20:30","497"
"10/3/2022 21:00","547"
"10/3/2022 21:30","637"
"10/3/2022 22:00","685"
"10/3/2022 22:30","678"
"10/3/2022 23:00","531"
"10/3/2022 23:30","413"
"10/4/2022 0:00","356"
"10/4/2022 0:30","223"
"10/4/2022 1:00","109"
"10/4/2022 1:30","73"
"10/4/2022 2:00","50"
"10/4/2022 2:30","36"
"10/4/2022 3:00","24"
"10/4/2022 3:30","13"
"10/4/2022 4:00","10"
"10/4/2022 4:30","10"
"10/4/2022 5:00","7"
"10/4/2022 5:30","5"
"10/4/2022 6:00","5"
"10/4/2022 6:30","15"
"10/4/2022 7:00","13"
"10/4/2022 7:30","17"
"10/4/2022 8:00","33"
"10/4/2022 8:30","54"
"10/4/2022 9:00","76"
"10/4/2022 9:30","88"
"10/4/2022 10:00","101"
"10/4/2022 10:30","108"
"10/4/2022 11:00","120"
"10/4/2022 11:30","140"
"10/4/2022 12:00","205"
"10/4/2022 12:30","282"
"10/4/2022 13:00","388"
"10/4/2022 13:30","435"
"10/4/2022 14:00","398"
"10/4/2022 14:30","365"
"10/4/2022 15:00","331"
"10/4/2022 15:30","298"
"10/4/2022 16:00","264"
"10/4/2022 16:30","260"
"10/4/2022 17:00","248"
"10/4/2022 17:30","256"
"10/4/2022 18:00","278"
"10/4/2022 18:30","288"
"10/4/2022 19:00","322"
"10/4/2022 19:30","361"
"10/4/2022 20:00","424"
"10/4/2022 20:30","512"
"10/4/2022 21:00","591"
"10/4/2022 21:30","608"
"10/4/2022 22:00","645"
"10/4/2022 22:30","579"
"10/4/2022 23:00","479"
"10/4/2022 23:30","386"
"10/5/2022 0:00","306"
"10/5/2022 0:30","181"
"10/5/2022 1:00","102"
"10/5/2022 1:30","67"
"10/5/2022 2:00","45"
"10/5/2022 2:30","36"
"10/5/2022 3:00","16"
"10/5/2022 3:30","15"
"10/5/2022 4:00","8"
"10/5/2022 4:30","7"
"10/5/2022 5:00","12"
"10/5/2022 5:30","10"
"10/5/2022 6:00","10"
"10/5/2022 6:30","7"
"10/5/2022 7:00","17"
"10/5/2022 7:30","27"
"10/5/2022 8:00","41"
"10/5/2022 8:30","65"
"10/5/2022 9:00","84"
"10/5/2022 9:30","106"
"10/5/2022 10:00","111"
"10/5/2022 10:30","126"
"10/5/2022 11:00","152"
"10/5/2022 11:30","164"
"10/5/2022 12:00","226"
"10/5/2022 12:30","317"
"10/5/2022 13:00","432"
"10/5/2022 13:30","480"
"10/5/2022 14:00","481"
"10/5/2022 14:30","430"
"10/5/2022 15:00","377"
"10/5/2022 15:30","332"
"10/5/2022 16:00","293"
"10/5/2022 16:30","292"
"10/5/2022 17:00","298"
"10/5/2022 17:30","276"
"10/5/2022 18:00","304"
"10/5/2022 18:30","321"
"10/5/2022 19:00","315"
"10/5/2022 19:30","354"
"10/5/2022 20:00","408"
"10/5/2022 20:30","507"
"10/5/2022 21:00","602"
"10/5/2022 21:30","711"
"10/5/2022 22:00","745"
"10/5/2022 22:30","676"
"10/5/2022 23:00","544"
"10/5/2022 23:30","393"
"10/6/2022 0:00","288"
"10/6/2022 0:30","175"
"10/6/2022 1:00","104"
"10/6/2022 1:30","64"
"10/6/2022 2:00","48"
"10/6/2022 2:30","35"
"10/6/2022 3:00","20"
"10/6/2022 3:30","13"
"10/6/2022 4:00","18"
"10/6/2022 4:30","14"
"10/6/2022 5:00","9"
