fecha,cs_chats
2023-05-05,8211
2022-11-23,9965
2022-10-04,10052
2022-11-09,10231
2022-10-18,10244
2022-11-08,10384
2022-10-11,10629
2022-10-13,10657
2023-01-10,10687
2022-11-15,10738
2022-12-24,10795
2022-10-12,10799
2022-10-19,10883
2022-10-25,11070
2022-10-20,11259
2022-11-22,11389
2022-10-27,11476
2022-11-17,11499
2022-11-03,11697
2023-01-05,11732
2022-12-31,11972
2022-10-24,12057
2022-11-02,12178
2023-01-11,12211
2022-11-07,12331
2022-10-05,12346
2022-11-24,12358
2023-04-11,12481
2023-03-27,12626
2022-10-17,12672
2022-11-29,12780
2023-01-18,12801
2022-11-16,12885
2023-03-28,13036
2022-11-18,13162
2022-10-21,13249
2023-01-12,13268
2023-03-22,13331
2023-01-24,13412
2022-10-07,13509
2023-04-10,13668
2023-04-26,13720
2023-04-13,13756
2023-04-20,13776
2023-01-19,13779
2022-11-25,13903
2022-12-25,13914
2023-03-21,13953
2023-03-20,13983
2023-01-25,14015
2023-01-04,14034
2023-04-24,14317
2023-01-17,14341
2023-03-30,14384
2023-04-18,14437
2022-11-19,14478
2023-01-23,14542
2023-01-13,14546
2023-01-06,14553
2023-04-27,14591
2023-02-23,14591
2023-03-29,14629
2023-04-19,14900
2022-10-06,14917
2023-05-04,14987
2022-10-26,15007
2023-04-12,15117
2022-10-03,15156
2022-11-04,15206
2023-01-07,15212
2023-01-03,15411
2023-01-14,15424
2022-11-28,15425
2023-01-26,15449
2023-04-25,15650
2023-01-16,15652
2023-04-03,15685
2022-11-05,15696
2022-10-01,15730
2023-04-08,15811
2023-02-22,15865
2023-02-08,16114
2023-04-04,16162
2023-02-18,16534
2023-02-09,16561
2022-10-22,16602
2023-02-27,16609
2023-05-03,16621
2022-12-02,16640
2023-03-07,16650
2022-10-09,16661
2022-12-27,16719
2023-02-24,16733
2023-04-17,16756
2023-02-07,16815
2022-10-31,16911
2022-10-14,16916
2023-02-01,17118
2023-01-09,17133
2022-12-28,17134
2022-10-28,17143
2023-01-30,17287
2023-03-16,17307
2022-11-14,17338
2022-11-01,17394
2023-03-09,17436
2023-02-28,17548
2022-10-02,17576
2022-10-08,17601
2023-02-06,17667
2022-12-29,17762
2023-02-04,17772
2022-10-23,17859
2023-01-21,18066
2023-03-06,18070
2023-03-13,18085
2023-04-09,18151
2023-01-28,18577
2023-04-21,18656
2022-12-03,18751
2023-02-25,18796
2023-02-19,18821
2023-01-31,18911
2023-01-08,18944
2023-04-14,18977
2023-03-14,19026
2022-11-26,19070
2022-12-15,19234
2022-10-29,19523
2023-03-15,19541
2022-12-26,19807
2023-02-26,19830
2023-02-02,19848
2023-04-07,19889
2023-03-02,19968
2023-01-15,20036
2023-01-27,20045
2023-02-03,20147
2022-12-30,20229
2023-04-15,20244
2023-03-23,20440
2023-03-26,20480
2022-11-06,20563
2023-02-20,20592
2023-01-22,20680
2023-01-01,20738
2022-11-12,20750
2023-03-25,20824
2023-03-17,20915
2023-03-03,21039
2022-12-01,21105
2023-03-24,21258
2023-04-22,21287
2023-03-04,21452
2023-04-01,21459
2023-02-10,21562
2023-03-18,21755
2023-03-01,21862
2023-03-31,21890
2023-04-06,21903
2023-02-21,21958
2023-04-05,22039
2023-05-02,22086
2022-12-17,22180
2022-10-10,22313
2023-02-16,22661
2022-10-16,22996
2023-02-05,23115
2022-12-05,23197
2022-11-27,23373
2022-12-16,23599
2023-02-17,23628
2023-01-29,23649
2023-03-08,24003
2023-03-10,24120
2022-12-04,24517
2023-02-13,24779
2022-12-22,25116
2022-12-06,25678
2023-04-23,25705
2023-04-02,25799
2023-03-05,25863
2023-04-28,25940
2023-04-29,26078
2023-02-11,26116
2022-12-23,26859
2022-12-20,27069
2023-01-20,27668
2023-01-02,27772
2022-11-21,27924
2023-03-19,28319
2022-12-14,28364
2022-12-10,28732
2022-12-12,28774
2022-12-21,29047
2022-12-08,30984
2023-03-11,31506
2022-12-11,31620
2022-11-20,31881
2022-12-19,32146
2022-12-18,32153
2023-02-15,38060
2022-10-30,38479
2023-04-30,38769
2022-11-13,38933
2022-10-15,39675
2022-12-13,40259
2022-11-10,40478
2023-03-12,40570
2022-11-11,40825
2022-11-30,41064
2023-04-16,41190
2023-02-12,43749
2022-12-07,55239
2022-12-09,56227
2023-05-01,59907
2023-02-14,61205
